,Name,Price,Selldate,Public Year,Mileage,Origin,Bodytype,Seats,City,Year,Fueltype,Engine,Manufacturer
2388,MG 5 Luxury 1.5 AT,450,4/11/2024,2022,480000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1500,MG
2389,Ford Explorer Limited 2.3L EcoBoost,1145,4/11/2024,2018,41000,Nhap khau,SUV,7,Ha Noi,6,Xang,2300,Ford
2390,Suzuki Swift 1.4 AT,329,4/11/2024,2016,73000,Lap rap,Hatchback,5,Ha Noi,8,Xang,1400,Suzuki
2391,Hyundai Tucson 2.0 AT Dac biet,835,4/11/2024,2023,30000,Lap rap,Crossover,5,Ha Noi,1,Xang,2000,Hyundai
2392,Kia Cerato 2.0 AT Premium,490,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Kia
2393,Hyundai SantaFe 2.2L 4WD,668,4/11/2024,2016,90000,Lap rap,SUV,7,Ha Noi,8,Dau,2200,Hyundai
2394,Toyota Camry 2.0Q,1015,4/11/2024,2021,33000,Nhap khau,Sedan,5,Ha Noi,3,Xang,2000,Toyota
2395,MG 5 Luxury 1.5 AT,450,4/11/2024,2022,480000,Nhap khau,Sedan,5,Ha Noi,2,Xang,1500,MG
2396,Ford Explorer Limited 2.3L EcoBoost,1145,4/11/2024,2018,41000,Nhap khau,SUV,7,Ha Noi,6,Xang,2300,Ford
2397,Suzuki Swift 1.4 AT,329,4/11/2024,2016,73000,Lap rap,Hatchback,5,Ha Noi,8,Xang,1400,Suzuki
2398,Hyundai Tucson 2.0 AT Dac biet,835,4/11/2024,2023,30000,Lap rap,Crossover,5,Ha Noi,1,Xang,2000,Hyundai
2399,Kia Cerato 2.0 AT Premium,490,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Kia
2400,Hyundai SantaFe 2.2L 4WD,668,4/11/2024,2016,90000,Lap rap,SUV,7,Ha Noi,8,Dau,2200,Hyundai
2401,VinFast Lux A 2.0 2.0 AT,595,4/11/2024,2021,25000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,VinFast
2402,Mazda 3 1.5L Luxury,479,4/11/2024,2019,43000,Lap rap,Sedan,5,Ha Noi,5,Xang,1500,Mazda
2403,Hyundai Accent 1.4 AT Dac Biet,452,4/11/2024,2020,35000,Lap rap,Sedan,5,Ha Noi,4,Xang,1400,Hyundai
2404,Hyundai SantaFe 2.2L 4WD,666,4/11/2024,2016,100000,Lap rap,SUV,7,Ha Noi,8,Dau,2200,Hyundai
2405,Kia Sonet Premium 1.5 AT,558,4/11/2024,2022,43000,Lap rap,Crossover,5,Ha Noi,2,Xang,1500,Kia
2406,Toyota Camry 2.5Q,758,4/11/2024,2018,8000,Lap rap,Sedan,5,Ha Noi,6,Xang,2500,Toyota
2407,VinFast Lux SA 2.0 Nang cao,850,4/11/2024,2022,0,Lap rap,SUV,7,Ha Noi,2,Xang,2000,VinFast
2408,LandRover Range Rover Evoque 2.0 AT,2099,4/11/2024,2021,20000,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Land Rover
2409,Nissan Almera VL 1.0 CVT Cao cap,430,4/11/2024,2021,50000,Nhap khau,Sedan,5,Ha Noi,3,Xang,1000,Nissan
2410,Mercedes Benz S class S450 4Matic,4090,4/11/2024,2022,10000,Nhap khau,Sedan,5,Ha Noi,2,Xang,3000,Mercedes
2411,Toyota Raize G 1.0 CVT,500,4/11/2024,2022,28000,Nhap khau,SUV,5,Ha Noi,2,Xang,1000,Toyota
2412,Toyota Fortuner 2.7L 4x2 AT,989,4/11/2024,2022,30000,Nhap khau,SUV,7,Ha Noi,2,Xang,2700,Toyota
2413,Hyundai SantaFe Cao cap 2.5L HTRAC,1019,4/11/2024,2021,72000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Hyundai
2414,Peugeot 3008 Allure 1.6 AT,759,4/11/2024,2021,40000,Lap rap,Crossover,5,Ha Noi,3,Xang,1600,Peugeot
2415,Peugeot 3008 AL,865,4/11/2024,2022,40000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Peugeot
2416,Ford Territory Titanium 1.5 AT,839,4/11/2024,2023,24000,Lap rap,SUV,5,Ha Noi,1,Xang,1500,Ford
2417,Mazda CX5 2.5 AT 2WD,648,4/11/2024,2018,60000,Lap rap,SUV,5,Ha Noi,6,Xang,2500,Mazda
2418,Peugeot 3008 GT,899,4/11/2024,2022,38000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Peugeot
2419,Honda CRV G,979,4/11/2024,2023,17000,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Honda
2420,Honda CRV 2.0 AT,535,4/11/2024,2015,80000,Lap rap,SUV,5,Ha Noi,9,Xang,2000,Honda
2421,Kia Sorento Signature 2.5 AT AWD,999,4/11/2024,2022,30000,Lap rap,SUV,7,Ha Noi,2,Xang,2500,Kia
2422,Hyundai SantaFe Calligraphy 2.5L HTRAC 6S,1429,4/11/2024,2024,0,Lap rap,SUV,6,Ha Noi,0,Xang,2500,Hyundai
2423,Hyundai Tucson 2.0 AT Dac biet,735,4/11/2024,2021,40000,Lap rap,Crossover,5,Ha Noi,3,Xang,2000,Hyundai
2424,Kia Carnival Signature 3.5G,1439,4/11/2024,2022,23000,Lap rap,Van,7,Ha Noi,2,Xang,3500,Kia
2425,Subaru Forester 2.0i-S EyeSight GT Edition,868,4/11/2024,2021,51000,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Subaru
2426,Mercedes Benz E class E300 AMG,1150,4/11/2024,2017,80450,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
2427,Mercedes Benz GLC 300 4Matic,2059,4/11/2024,2022,20750,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
2428,Mitsubishi Outlander 2.0 CVT Premium,709,4/11/2024,2020,55000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,Mitsubishi
2429,Toyota Corolla Cross 1.8V,769,4/11/2024,2022,35000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
2430,VinFast Lux SA 2.0 Nang cao,849,4/11/2024,2022,14000,Lap rap,SUV,7,Ha Noi,2,Xang,2000,VinFast
2431,VinFast Lux A 2.0 Plus 2.0 AT,630,4/11/2024,2021,57000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,VinFast
2432,Toyota Corolla Cross 1.8G,630,4/11/2024,2020,52000,Nhap khau,SUV,5,Ha Noi,4,Xang,1800,Toyota
2433,Toyota Land Cruiser 3.5 V6,5100,4/11/2024,2023,10000,Nhap khau,SUV,7,Ha Noi,1,Xang,3400,Toyota
2434,Nissan Navara EL 2.5 AT 2WD,410,4/11/2024,2017,80000,Nhap khau,Ban tai,5,Ha Noi,7,Dau,2500,Nissan
2435,Mercedes Benz Maybach S450 4Matic,3180,4/11/2024,2017,60000,Nhap khau,Sedan,5,Ha Noi,7,Xang,3000,Mercedes
2436,Porsche Macan 2.0,3200,4/11/2024,2021,45000,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Porsche
2437,Mercedes Benz E class E250,1030,4/11/2024,2017,63000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
2438,Toyota Corolla Cross 1.8G,665,4/11/2024,2021,30000,Nhap khau,SUV,5,Ha Noi,3,Xang,1800,Toyota
2439,Honda CRV L,739,4/11/2024,2018,65000,Nhap khau,SUV,7,Ha Noi,6,Xang,1500,Honda
2440,Mercedes Benz C class C200 Exclusive,1135,4/11/2024,2021,60000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,Mercedes
2441,Toyota Camry 2.0Q,1050,4/11/2024,2022,59000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Toyota
2442,Ford EcoSport Titanium Black 1.5L AT,365,4/11/2024,2017,61000,Lap rap,SUV,5,Ha Noi,7,Xang,1500,Ford
2443,Kia Morning Van 1.0 AT,196,4/11/2024,2015,46000,Nhap khau,Van,2,Ha Noi,9,Xang,1000,Kia
2444,Mitsubishi Xpander 1.5 AT,509,4/11/2024,2020,70000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Mitsubishi
2445,Mazda CX5 Premium Exclusive 2.0 AT,855,4/11/2024,2023,20000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mazda
2446,Mercedes Benz S class S450L Luxury,2590,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,3000,Mercedes
2447,Hyundai i20 Active 1.4 AT,356,4/11/2024,2016,88000,Nhap khau,Crossover,5,Ha Noi,8,Xang,1400,Hyundai
2448,Toyota Camry 2.5Q,1230,4/11/2024,2022,40000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2500,Toyota
2449,VinFast Fadil 1.4 AT Plus,309,4/11/2024,2020,36000,Lap rap,Hatchback,5,Ha Noi,4,Xang,1400,VinFast
2450,Honda City L 1.5 AT,465,4/11/2024,2022,30000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Honda
2451,Kia Morning GT-Line,373,4/11/2024,2022,20000,Lap rap,Hatchback,5,Ha Noi,2,Xang,1250,Kia
2452,Mitsubishi Xpander 1.5 AT,529,4/11/2024,2021,59000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Mitsubishi
2453,Kia Carnival Premium 2.2D,1160,4/11/2024,2022,43000,Lap rap,Van,8,Ha Noi,2,Dau,2200,Kia
2454,Hyundai i10 Grand 1.2 AT,335,4/11/2024,2019,32000,Lap rap,Sedan,5,Ha Noi,5,Xang,1250,Hyundai
2455,Nissan Navara EL Premium R,465,4/11/2024,2019,73000,Nhap khau,Ban tai,5,Ha Noi,5,Dau,2500,Nissan
2456,Mazda 3 1.5L Deluxe,545,4/11/2024,2022,30000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Mazda
2457,Mitsubishi Outlander 2.4 CVT Premium,668,4/11/2024,2019,80000,Lap rap,SUV,7,Ha Noi,5,Xang,2400,Mitsubishi
2458,Hyundai Elantra Sport 1.6 AT,505,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,1600,Hyundai
2459,Mazda 3 S 1.6 AT,320,4/11/2024,2014,90000,Lap rap,Sedan,5,Ha Noi,10,Xang,1600,Mazda
2460,Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT,635,4/11/2024,2018,70000,Nhap khau,SUV,7,Ha Noi,6,Dau,2500,Chevrolet
2461,Mazda CX5 Deluxe 2.0 AT,770,4/11/2024,2024,4000,Lap rap,SUV,5,Ha Noi,0,Xang,2000,Mazda
2462,Hyundai SantaFe Cao cap 2.5L HTRAC,980,4/11/2024,2021,60000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Hyundai
2463,Mitsubishi Xpander 1.5 AT,559,4/11/2024,2023,24000,Nhap khau,SUV,7,Ha Noi,1,Xang,1500,Mitsubishi
2464,Mazda 3 1.5L Luxury,599,4/11/2024,2023,14000,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Mazda
2465,Mazda CX5 Premium 2.0 AT,775,4/11/2024,2022,29000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mazda
2466,Infiniti QX 60 3.5 AWD,820,4/11/2024,2015,79000,Nhap khau,SUV,7,Ha Noi,9,Xang,3500,Infiniti
2467,Kia Carens 1.5G IVT,609,4/11/2024,2023,10000,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Kia
2468,Kia Sonet Premium 1.5 AT,539,4/11/2024,2022,40000,Lap rap,Crossover,5,Ha Noi,2,Xang,1500,Kia
2469,Toyota Raize G 1.0 CVT,469,4/11/2024,2021,29000,Nhap khau,SUV,5,Ha Noi,3,Xang,1000,Toyota
2470,Peugeot 5008 AL 1.6 AT,905,4/11/2024,2022,9000,Lap rap,SUV,7,Ha Noi,2,Xang,1600,Peugeot
2471,Kia Soul 2.0 AT,455,4/11/2024,2014,56899,Nhap khau,SUV,5,Ha Noi,10,Xang,2000,Kia
2472,Mercedes Benz GLC 300 4Matic,2590,4/11/2024,2023,30000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
2473,Honda Civic G 1.8 AT,589,4/11/2024,2019,59000,Nhap khau,Sedan,5,Ha Noi,5,Xang,1800,Honda
2474,VinFast Lux SA 2.0 Premium 2.0 AT,815,4/11/2024,2020,39000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
2475,Honda CRV L,875,4/11/2024,2020,41000,Lap rap,SUV,7,Ha Noi,4,Xang,1500,Honda
2476,Kia Morning Van 1.0 AT,165,4/11/2024,2014,150000,Nhap khau,Van,2,Ha Noi,10,Xang,1000,Kia
2477,VinFast VF e34 AT,505,4/11/2024,2022,29000,Lap rap,Crossover,5,Ha Noi,2,Dien,0,VinFast
2478,Ford EcoSport Titanium 1.5L AT,365,4/11/2024,2017,8000,Lap rap,SUV,5,Ha Noi,7,Xang,1500,Ford
2479,Mercedes Benz GLS 400 4Matic,1639,4/11/2024,2016,0,Nhap khau,SUV,7,Ha Noi,8,Xang,3000,Mercedes
2480,Mazda CX5 Premium 2.0 AT,790,4/11/2024,2022,49000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mazda
2481,Toyota Land Cruiser VX 4.6 V8,3880,4/11/2024,2019,58888,Nhap khau,SUV,8,Ha Noi,5,Xang,4600,Toyota
2482,Honda CRV 2.0 AT,570,4/11/2024,2016,95000,Lap rap,SUV,5,Ha Noi,8,Xang,2000,Honda
2483,Toyota Avanza Premio 1.5 AT,535,4/11/2024,2023,18000,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Toyota
2484,Kia Morning Luxury,315,4/11/2024,2019,57000,Lap rap,Hatchback,5,Ha Noi,5,Xang,1250,Kia
2485,Toyota Land Cruiser 3.5 V6,4530,4/11/2024,2021,49000,Nhap khau,SUV,7,Ha Noi,3,Xang,3400,Toyota
2486,Mercedes Benz GLK Class GLK250 4Matic,580,4/11/2024,2014,150000,Lap rap,SUV,5,Ha Noi,10,Xang,2000,Mercedes
2487,Mitsubishi Xpander 1.5 AT Special Edition,510,4/11/2024,2019,43000,Nhap khau,SUV,7,Ha Noi,5,Xang,1500,Mitsubishi
2488,Mazda 3 1.5 AT,410,4/11/2024,2017,0,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Mazda
2489,Toyota Corolla Cross 1.8V,725,4/11/2024,2021,35000,Nhap khau,SUV,5,Ha Noi,3,Xang,1800,Toyota
2490,Kia Sedona 2.2L DATH,635,4/11/2024,2017,0,Lap rap,Van,7,Ha Noi,7,Dau,2200,Kia
2491,Mercedes Benz C class C300 AMG,1790,4/11/2024,2022,23000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
2492,Toyota Yaris 1.3G,345,4/11/2024,2014,90000,Nhap khau,Hatchback,5,Ha Noi,10,Xang,1300,Toyota
2493,Mazda CX5 Luxury 2.0 AT,799,4/11/2024,2023,10000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mazda
2494,Mitsubishi Xpander 1.5 AT Special Edition,489,4/11/2024,2019,68000,Nhap khau,SUV,7,Ha Noi,5,Xang,1500,Mitsubishi
2495,Toyota Innova 2.0G,495,4/11/2024,2016,80000,Lap rap,Crossover,8,Ha Noi,8,Xang,2000,Toyota
2496,Hyundai Elantra 2.0 AT,480,4/11/2024,2019,46000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Hyundai
2497,Mercedes Benz S class S400L,1360,4/11/2024,2015,50000,Lap rap,Sedan,5,Ha Noi,9,Xang,3000,Mercedes
2498,Mercedes Benz C class C300 AMG,880,4/11/2024,2017,50000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
2499,Mercedes Benz E class E200,1180,4/11/2024,2019,63000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
2500,Mercedes Benz C class C300 AMG,760,4/11/2024,2016,60000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
2501,Mercedes Benz GLC 300 4Matic,1090,4/11/2024,2017,60000,Lap rap,SUV,5,Ha Noi,7,Xang,2000,Mercedes
2502,Toyota Corolla altis 1.8G AT,625,4/11/2024,2021,48000,Lap rap,Sedan,5,Ha Noi,3,Xang,1800,Toyota
2503,Kia Optima 2.0 AT Luxury,579,4/11/2024,2020,32000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Kia
2504,Lexus RX 350,2720,4/11/2024,2018,70000,Nhap khau,SUV,5,Ha Noi,6,Xang,3500,Lexus
2505,Mazda CX5 Luxury 2.0 AT,750,4/11/2024,2023,27000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mazda
2506,Ford Ranger Wildtrak 3.2L 4x4 AT,589,4/11/2024,2017,90000,Nhap khau,Ban tai,5,Ha Noi,7,Dau,3200,Ford
2507,Mercedes Benz C class C300 AMG,1160,4/11/2024,2019,32000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
2508,Kia Soluto 1.4 AT Luxury,400,4/11/2024,2021,23000,Lap rap,Sedan,5,Ha Noi,3,Xang,1400,Kia
2509,Ford EcoSport Titanium 1.5L AT,444,4/11/2024,2020,79000,Lap rap,SUV,5,Ha Noi,4,Xang,1500,Ford
2510,Toyota Veloz Cross Top 1.5 CVT,610,4/11/2024,2023,7000,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Toyota
2511,Honda City 1.5,380,4/11/2024,2017,60000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Honda
2512,Toyota Fortuner 2.7V 4x2 AT,666,4/11/2024,2017,90000,Nhap khau,SUV,7,Ha Noi,7,Xang,2700,Toyota
2513,Kia K3 2.0 AT,355,4/11/2024,2014,34000,Lap rap,Sedan,5,Ha Noi,10,Xang,2000,Kia
2514,Hyundai Accent 1.4 AT Dac Biet,495,4/11/2024,2023,9000,Lap rap,Sedan,5,Ha Noi,1,Xang,1400,Hyundai
2515,Toyota Corolla Cross 1.8G,710,4/11/2024,2022,40000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
2516,Hyundai SantaFe 2.4L 4WD,619,4/11/2024,2016,89000,Lap rap,SUV,7,Ha Noi,8,Xang,2400,Hyundai
2517,Lexus RX 300,3050,4/11/2024,2021,42000,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Lexus
2518,Hyundai Accent 1.4 AT,315,4/11/2024,2014,70000,Nhap khau,Hatchback,5,Ha Noi,10,Xang,1400,Hyundai
2519,Toyota Vios 1.5E CVT,450,4/11/2024,2021,68000,Lap rap,Sedan,5,Ha Noi,3,Xang,1500,Toyota
2520,Mazda CX5 2.5 AT 2WD,570,4/11/2024,2017,89000,Lap rap,SUV,5,Ha Noi,7,Xang,2500,Mazda
2521,Suzuki Vitara 1.6 AT,435,4/11/2024,2016,0,Nhap khau,SUV,5,Ha Noi,8,Xang,1600,Suzuki
2522,Mercedes Benz C class C200 Exclusive,999,4/11/2024,2020,50000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Mercedes
2523,Hyundai Elantra 2.0 AT,540,4/11/2024,2021,50000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,Hyundai
2524,Hyundai Kona 2.0 ATH,540,4/11/2024,2020,50000,Lap rap,Crossover,5,Ha Noi,4,Xang,2000,Hyundai
2525,Toyota Corolla Cross 1.8G,750,4/11/2024,2023,13000,Nhap khau,SUV,5,Ha Noi,1,Xang,1800,Toyota
2526,Mercedes Benz C class C300 AMG,760,4/11/2024,2016,47000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
2527,Ford Everest Titanium 2.0L 4x2 AT,810,4/11/2024,2018,80000,Nhap khau,SUV,7,Ha Noi,6,Dau,2000,Ford
2528,VinFast Lux A 2.0 2.0 AT,525,4/11/2024,2019,65000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,VinFast
2529,Hyundai SantaFe Premium 2.2L HTRAC,898,4/11/2024,2020,60000,Lap rap,SUV,7,Ha Noi,4,Dau,2200,Hyundai
2530,Kia Carnival Luxury 2.2D,1195,4/11/2024,2024,9000,Lap rap,Van,7,Ha Noi,0,Dau,2200,Kia
2531,Ford Ranger XLS 2.2L 4x2 AT,570,4/11/2024,2021,56000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
2532,Peugeot 3008 Allure 1.6 AT,738,4/11/2024,2021,20000,Lap rap,Crossover,5,Ha Noi,3,Xang,1600,Peugeot
2533,Hyundai SantaFe Cao cap 2.2L HTRAC,1186,4/11/2024,2022,29000,Lap rap,SUV,7,Ha Noi,2,Dau,2200,Hyundai
2534,Honda CRV L,1066,4/11/2024,2023,6000,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Honda
2535,Mazda CX8 Premium,935,4/11/2024,2022,26000,Lap rap,SUV,7,Ha Noi,2,Xang,2500,Mazda
2536,Hyundai SantaFe Premium 2.2L HTRAC,830,4/11/2024,2019,90000,Lap rap,SUV,7,Ha Noi,5,Dau,2200,Hyundai
2537,Mazda CX5 2.5 AT 2WD,659,4/11/2024,2019,60000,Lap rap,SUV,5,Ha Noi,5,Xang,2500,Mazda
2538,Mazda CX5 2.0 Premium,695,4/11/2024,2019,58000,Lap rap,SUV,5,Ha Noi,5,Xang,2000,Mazda
2539,Chevrolet Spark LTZ 1.0 AT Zest,185,4/11/2024,2015,85000,Lap rap,Hatchback,5,Ha Noi,9,Xang,1000,Chevrolet
2540,Honda CRV L,899,4/11/2024,2021,18000,Lap rap,SUV,7,Ha Noi,3,Xang,1500,Honda
2541,Mitsubishi Xpander Premium 1.5 AT,595,4/11/2024,2022,35000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Mitsubishi
2542,Honda City RS 1.5 AT,509,4/11/2024,2022,25000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Honda
2543,Toyota Fortuner 2.7V 4x2 AT,668,4/11/2024,2016,65000,Nhap khau,SUV,7,Ha Noi,8,Xang,2700,Toyota
2544,Toyota Fortuner Legender 2.4L 4x2 AT,1185,4/11/2024,2024,8000,Lap rap,SUV,7,Ha Noi,0,Dau,2400,Toyota
2545,Mercedes Benz C class C200 Avantgarde,1359,4/11/2024,2022,28000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Mercedes
2546,Chevrolet Trailblazer LT 2.5L VGT 4x2 AT,535,4/11/2024,2018,70000,Nhap khau,SUV,7,Ha Noi,6,Dau,2500,Chevrolet
2547,Kia Morning Premium AT,379,4/11/2024,2023,12300,Lap rap,Hatchback,5,Ha Noi,1,Xang,1250,Kia
2548,Mazda CX5 Premium 2.0 AT,776,4/11/2024,2022,28000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mazda
2549,Honda City 1.5,390,4/11/2024,2018,90000,Lap rap,Sedan,5,Ha Noi,6,Xang,1500,Honda
2550,Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG,4300,4/11/2024,2022,10000,Nhap khau,SUV,5,Ha Noi,2,Xang,3000,Mercedes
2551,Mazda CX5 2.5 AT 2WD,620,4/11/2024,2018,50000,Lap rap,SUV,5,Ha Noi,6,Xang,2500,Mazda
2552,Toyota Camry 2.5HV,1230,4/11/2024,2022,30000,Nhap khau,Sedan,5,Ha Noi,2,Hybrid,2500,Toyota
2553,BMW X1 xDrive20i,656,4/11/2024,2016,79000,Nhap khau,SUV,5,Ha Noi,8,Xang,2000,BMW
2554,Nissan Navara EL A-IVI 2.5 AT 2WD,515,4/11/2024,2020,76000,Nhap khau,Ban tai,5,Ha Noi,4,Dau,2500,Nissan
2555,Peugeot 3008 AL,840,4/11/2024,2022,20000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Peugeot
2556,Mazda CX8 Deluxe,745,4/11/2024,2021,40000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Mazda
2557,Toyota Camry 2.0E,650,4/11/2024,2018,70000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Toyota
2558,Mazda 3 1.5 AT,410,4/11/2024,2017,60000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Mazda
2559,Toyota Corolla Cross 1.8V,810,4/11/2024,2023,6000,Nhap khau,SUV,5,Ha Noi,1,Xang,1800,Toyota
2560,Hyundai SantaFe 2.2L 4WD,660,4/11/2024,2016,80000,Lap rap,SUV,7,Ha Noi,8,Dau,2200,Hyundai
2561,Toyota Corolla Cross 1.8V,780,4/11/2024,2022,20000,Nhap khau,SUV,5,Ha Noi,2,Xang,1800,Toyota
2562,Hyundai SantaFe Cao cap 2.5L HTRAC,999,4/11/2024,2021,40000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Hyundai
2563,Kia Sedona 2.2L DATH,695,4/11/2024,2017,130000,Lap rap,Van,7,Ha Noi,7,Dau,2200,Kia
2564,Ssangyong Tivoli 1.6 AT 2WD,299,4/11/2024,2015,81000,Nhap khau,SUV,5,Ha Noi,9,Xang,1600,Ssangyong
2565,Mazda 3 1.5 AT,429,4/11/2024,2017,91689,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Mazda
2566,Mercedes Benz GLC 300 4Matic,1250,4/11/2024,2018,70000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
2567,Kia Carnival Signature 2.2D,1190,4/11/2024,2021,0,Lap rap,Van,7,Ha Noi,3,Dau,2200,Kia
2568,Mitsubishi Xpander 1.5 AT,495,4/11/2024,2020,0,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Mitsubishi
2569,Toyota Land Cruiser 4.6 V8,4750,4/11/2024,2021,40000,Nhap khau,SUV,8,Ha Noi,3,Xang,4600,Toyota
2570,Mercedes Benz GLC 200,1489,4/11/2024,2022,38500,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
2571,Peugeot 408 GT 1.6 AT,1180,4/11/2024,2023,9000,Lap rap,Crossover,5,Ha Noi,1,Xang,1600,Peugeot
2572,Hyundai SantaFe Cao cap 2.2L HTRAC,1068,4/11/2024,2021,50000,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Hyundai
2573,Toyota Corolla altis 1.8G AT,515,4/11/2024,2017,50000,Lap rap,Sedan,5,Ha Noi,7,Xang,1800,Toyota
2574,Toyota Camry 2.5Q,1047,4/11/2024,2021,33000,Nhap khau,Sedan,5,Ha Noi,3,Xang,2500,Toyota
2575,Toyota Sienna Platinum 2.5 AT,3300,4/11/2024,2020,40000,Nhap khau,Van,7,Ha Noi,4,Hybrid,2500,Toyota
2576,Toyota Vios 1.5E CVT,410,4/11/2024,2020,76000,Lap rap,Sedan,5,Ha Noi,4,Xang,1500,Toyota
2577,VinFast VF8 Eco,785,4/11/2024,2022,14000,Lap rap,SUV,5,Ha Noi,2,Dien,0,VinFast
2578,BMW X6 xDrive40i M Sport,3589,4/11/2024,2022,29000,Nhap khau,SUV,5,Ha Noi,2,Xang,3000,BMW
2579,Lexus LX 570,6450,4/11/2024,2018,150666,Nhap khau,SUV,47,Ha Noi,6,Xang,5700,Lexus
2580,Kia Sedona 3.3L GATH,555,4/11/2024,2016,80000,Lap rap,Van,7,Ha Noi,8,Xang,3300,Kia
2581,Mercedes Benz Maybach S400,2600,4/11/2024,2016,101000,Nhap khau,Sedan,5,Ha Noi,8,Xang,3000,Mercedes
2582,Mitsubishi Xpander Cross 1.5 AT,545,4/11/2024,2020,70000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Mitsubishi
2583,Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG,4377,4/11/2024,2021,21000,Nhap khau,SUV,5,Ha Noi,3,Xang,3000,Mercedes
2584,Mazda CX5 Luxury 2.0 AT,735,4/11/2024,2021,74000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mazda
2585,Honda CRV 2,605,4/11/2024,2017,75689,Lap rap,SUV,5,Ha Noi,7,Xang,2400,Honda
